"REGION","SURROGATE","SURROGATE CODE","DATA SHAPEFILE","DATA ATTRIBUTE","WEIGHT SHAPEFILE","WEIGHT ATTRIBUTE","WEIGHT FUNCTION","FILTER FUNCTION","MERGE FUNCTION","SECONDARY SURROGATE","TERTIARY SURROGATE","QUARTERNARY SURROGATE","DETAILS","COMMENTS"
"USA","Marine Ports",800,"cty_pophu2k_revised","FIPSSTCO","ports_ntad2010","NONE",,,,"Navigable Waterway Miles","Water","Land","Number of Marine Ports","No Navigable Waterway Miles surrogate in Table1. Available U.S. Surrogates"
"USA","Port Areas",801,"cty_pophu2k_revised","FIPSSTCO","Ports_081412_NEI2011_NOx_WRF","Area_sqmi",,,,"Marine Ports","Navigable Waterway Miles","Water","Area of Port Locations",
"USA","Shipping Lanes",802,"cty_pophu2k_revised","FIPSSTCO","GreatLakes_IWW_EI_EERA_2011_WRF","G_nonCO2",,,,"Gulf Shipping Lanes","Offshore Shipping NEI2011 NOx","Water","In/Near-shore shipping lanes",
"USA","Gulf Shipping Lanes",803,"ShippingLanes_112812_NEI2011_NOx_WRF","FIPS","GulfofMexico_SupportVessels_Density_WRF","Fraction",,,,"Offshore Shipping Area","Navigable Waterway Miles","Water","Area of near shore to offshore shipping lanes",
"USA","Offshore Shipping Area",805,"ShippingLanes_112812_NEI2011_NOx_WRF","FIPS","ShippingLanes_112812_NEI2011_NOx_WRF","Area_sqmi",,,,"Navigable Waterway Miles","Water",,"NEI shipping surrogate/area of near shore to international waters boundary",
"USA","Offshore Shipping NEI2011 NOx",806,"ShippingLanes_112812_NEI2011_NOx_WRF","FIPS","ShippingLanes_112812_NEI2011_NOx_WRF","ann_value",,,,"Offshore Shipping Area","Navigable Waterway Miles","Water","NEI shipping surrogate of near shore to international waters boundary weighted by NOx emissions from the NEI2011",
"USA","Navigable Waterway Miles",807,"cty_pophu2k_revised","FIPSSTCO","waterway_ntad2011","LENGTH",,,,"Water",,,"Miles of waterways - navigable inland and intracoastal waterways","Used for gap filling"
"USA","Great Lakes Tug Zone Area",808,"TUGvessel_SURROGATE_GREATLAKES","FIPS","TUGvessel_SURROGATE_GREATLAKES","AREA",,,,"Offshore Shipping NEI2011 NOx","Navigable Waterway Miles","Water","NEI shipping surrogate of near shore to international waters boundary weighted by NOx emissions from the NEI2011",
"USA","Navigable Waterway Activity",810,"cty_pophu2k_revised","FIPSSTCO","nav_water_activity","CTY_ACTIV",,,,"Navigable Waterway Miles","Marine Ports","Water","Activity for each river segment","How to use LENGTH and CTY_ACTIV?"
"USA","Midwest Shipping Lanes",812,"cty_pophu2k_revised","FIPSSTCO","GreatLakes_IWW_EI_EERA_2011_WRF","G_nonCO2",,,,"Navigable Waterway Miles","Marine Ports","Water","NOX+SOX+HC+PM+CO emissions by lane segment for Great Lakes and Inland Waterways","LADCO"
"USA","Ports NEI2011 NOx",820,"cty_pophu2k_revised","FIPSSTCO","Ports_081412_NEI2011_NOx_WRF","ann_value",,,,"Marine Ports","Navigable Waterway Miles","Water","Port areas weighted by NOx emissions from NEI2011",
"USA","Golf Courses",850,"cty_pophu2k_revised","FIPSSTCO","us_golf","NONE",,,,"Housing","Population","Land","Number of Golf Courses",
"USA","Mines",860,"cty_pophu2k_revised","FIPSSTCO","mines_usgs2003_wrf","NONE",,,,"Rural Land Area","Land",,"Number of mines",
"USA","Construction and Mining",861,"cty_pophu2k_revised","FIPSSTCO",,,,,"0.5*Housing Change and Population+0.5*Mines","Population","Land",,"Combination of  1/2 housing change and population and 1/2 mines",
"USA","Quarries",862,"cty_pophu2k_revised","FIPSSTCO","quarries_usgs2003_wrf","NONE",,,,"Rural Land Area","Land",,"Number of quarries",
"USA","Wastewater Treatment Facilities",870,"cty_pophu2k_revised","FIPSSTCO","us_wwtp","NONE",,,,"Commercial plus Industrial","Water","Land","Number of Wastewater Treatment Plants (WWTP)",
"USA","Drycleaners",880,"cty_pophu2k_revised","FIPSSTCO","pophu_bg2010","POP2010",,,,,,,"Total population from Census 2010 blocks",
"USA","Commercial Timber",890,"cty_pophu2k_revised","FIPSSTCO","us_timb","NONE",,,,"Forest Land","Rural Land Area","Population","Number of Possible Timber Removal Locations",
"CAN","Total population",900,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9990,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9955,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9221,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9996,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92421,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92456,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9106,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9921,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9111,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9100,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9103,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92410,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9562,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9942,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9448,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92409,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92417,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92438,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92408,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9101,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92419,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92413,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92412,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9308,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92414,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92439,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92436,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92437,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9323,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92435,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9321,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92433,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9327,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9324,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92430,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92416,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92423,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9980,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92455,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92454,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92457,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92451,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92450,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92453,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9222,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92432,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92402,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92431,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92403,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9970,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",91201,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9932,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92427,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9950,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9997,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9331,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9960,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9447,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9113,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92418,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92434,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92428,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92429,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92401,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92406,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92407,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92404,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92405,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9212,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9482,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9481,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9211,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92424,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92425,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92426,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9233,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92452,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92448,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92449,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92422,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92447,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92444,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92445,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92442,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92443,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92440,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92441,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",92446,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9412,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9946,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9947,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9416,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9945,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9948,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9924,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total population",9925,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTPOPUL",,,,,,,,
"CAN","Total dwelling",901,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TOTDWELL",,,,,,,,
"CAN","Agricultural and related service industries",902,"province_lam_FIPS","FIPS_CODE","can_socio_econ","AGRICULT",,,,,,,,
"CAN","Fishing and trapping industries",903,"province_lam_FIPS","FIPS_CODE","can_socio_econ","FISHERIE",,,,,,,,
"CAN","Logging and forestry industries",904,"province_lam_FIPS","FIPS_CODE","can_socio_econ","FORESTRY",,,,,,,,
"CAN","Mining (including milling) quarrying and oil well industries",905,"province_lam_FIPS","FIPS_CODE","can_socio_econ","MINING",,,,,,,,
"CAN","Manufacturing industries",906,"province_lam_FIPS","FIPS_CODE","can_socio_econ","MANUFACT",,,,,,,,
"CAN","Construction industries",907,"province_lam_FIPS","FIPS_CODE","can_socio_econ","CONSTRUC",,,,,,,,
"CAN","Transportation and storage industries",908,"province_lam_FIPS","FIPS_CODE","can_socio_econ","TRANSPOR",,,,,,,,
"CAN","Communication and other utility industries",909,"province_lam_FIPS","FIPS_CODE","can_socio_econ","COMMUNIC",,,,,,,,
"CAN","Wholesale trade industries",910,"province_lam_FIPS","FIPS_CODE","can_socio_econ","WHOLESAL",,,,,,,,
"CAN","Retail trade industries",911,"province_lam_FIPS","FIPS_CODE","can_socio_econ","RETAILSA",,,,,,,,
"CAN","Finance and insurance industries",912,"province_lam_FIPS","FIPS_CODE","can_socio_econ","FINANCES",,,,,,,,
"CAN","Real estate operator and insurance agent industries",913,"province_lam_FIPS","FIPS_CODE","can_socio_econ","REALESTA",,,,,,,,
"CAN","Business service industries",914,"province_lam_FIPS","FIPS_CODE","can_socio_econ","BUSINESS",,,,,,,,
"CAN","Government service industries",915,"province_lam_FIPS","FIPS_CODE","can_socio_econ","GOVERNMT",,,,,,,,
"CAN","Educational service industries",916,"province_lam_FIPS","FIPS_CODE","can_socio_econ","EDUCATIO",,,,,,,,
"CAN","Health and social service industries",917,"province_lam_FIPS","FIPS_CODE","can_socio_econ","HEALTHSO",,,,,,,,
"CAN","Accommodation food and beverage service industries",918,"province_lam_FIPS","FIPS_CODE","can_socio_econ","ACCOMADA",,,,,,,,
"CAN","Other service industries",919,"province_lam_FIPS","FIPS_CODE","can_socio_econ","OTHERS",,,,,,,,
"CAN","Combination of Wholesale trade and Retail trade industries",920,"province_lam_FIPS","FIPS_CODE","can_socio_econ","ALLSALES",,,,,,,,
"CAN","Combination of Agricultural and Manufacturing industries",921,"province_lam_FIPS","FIPS_CODE","can_socio_econ","AGRMANUF",,,,,,,,
"CAN","Combination of Forestry and Manufacturing industries",922,"province_lam_FIPS","FIPS_CODE","can_socio_econ","FORMANUF",,,,,,,,
"CAN","Combination of Mining and Manufacturing industries",923,"province_lam_FIPS","FIPS_CODE","can_socio_econ","MINMANUF",,,,,,,,
"CAN","Combination of Communication industries and Total Dwelling",924,"province_lam_FIPS","FIPS_CODE","can_socio_econ","COMDWELL",,,,,,,,
"CAN","Combination of Construction industries and Total Dwelling",925,"province_lam_FIPS","FIPS_CODE","can_socio_econ","CONDWELL",,,,,,,,
"CAN","Combination of Government industries and Total Dwelling",926,"province_lam_FIPS","FIPS_CODE","can_socio_econ","GOVDWELL",,,,,,,,
"CAN","Ferry corridors",927,"province_lam_FIPS","FIPS_CODE","can_socio_econ","FERRY_AREA",,,,,,,"Ferry corridors that correspond to buffered \91ferry routes\92 between two locations (ports)",
"CAN","Marine corridors",928,"province_lam_FIPS","FIPS_CODE","can_socio_econ","MARIN_AREA",,,,,,,,"Marine corridors for domestic and international movements.  "
"CAN","Flight corridors heavy jets",929,"province_lam_FIPS","FIPS_CODE","can_socio_econ","HGJ_AREA",,,,,,,,"Flight corridors for heavy jets domestic and international movements"
"CAN","Flight corridors ligh & medium jets",930,"province_lam_FIPS","FIPS_CODE","can_socio_econ","LMJ_AREA",,,,,,,,"Flight corridors for light and medium jets for domestice inflight activities."
"CAN","Minor airport location 50km buffer",931,"province_lam_FIPS","FIPS_CODE","can_socio_econ","OTJ_AREA",,,,,,,,"50 kilometer provincial buffers for Other Aircraft activities."
"CAN","Rail corridors",932,"province_lam_FIPS","FIPS_CODE","can_socio_econ","RAIL_AREA",,,,,,,,"Railroad corridors for rail transportation and railroad rolling stock industry activities."
"CAN","Forest fires",933,"province_lam_FIPS","FIPS_CODE","can_socio_econ","FIRE_AREA",,,,,,,,"Provincial forest fires known areas in combination with a 1995 Satellite image were used to generate a national coverage of Known burnt areas for 1995."
"CAN","Paved Roads",941,"province_lam_FIPS","FIPS_CODE","can_rds","LENGTH_",,"ROUTE_PA=1",,,,,,
"CAN","Unpaved Roads",942,"province_lam_FIPS","FIPS_CODE","can_rds","LENGTH_",,"ROUTE_PA=0",,,,,,
"CAN","ATF1",9341,"province_lam_FIPS","FIPS_CODE","can_rds",,"1.0*LENGTH_","ATF1_FUN=1",,,,,,"Computed from the base data provided by Canada"
"CAN","ATF2",9342,"province_lam_FIPS","FIPS_CODE","can_rds",,"1.0*LENGTH_","ATF1_FUN=2",,,,,,"Computed from the base data provided by Canada"
"CAN","ATF3",9343,"province_lam_FIPS","FIPS_CODE","can_rds",,"1.0*LENGTH_","ATF1_FUN=3",,,,,,"Computed from the base data provided by Canada"
"CAN","ATF4",9344,"province_lam_FIPS","FIPS_CODE","can_rds",,"1.0*LENGTH_","ATF1_FUN=4",,,,,,"Computed from the base data provided by Canada"
"CAN","LDGV1",9941,"province_lam_FIPS","FIPS_CODE",,,,,"0.415*ATF1+0.585*ATF2","Paved Roads",,,,"Computed from the base data provided by Canada"
"CAN","LDGV1",99341,"province_lam_FIPS","FIPS_CODE",,,,,"0.415*ATF1+0.585*ATF2","Paved Roads",,,,"Computed from the base data provided by Canada"
"CAN","LDGV2",99342,"province_lam_FIPS","FIPS_CODE",,,,,"0.531*ATF3+0.459*ATF4","Paved Roads",,,,"Computed from the base data provided by Canada"
"CAN","Light Duty Gasoline Vehicles (LDGV)",934,"province_lam_FIPS","FIPS_CODE",,,,,"0.727*LDGV1+0.273*LDGV2","Paved Roads",,,,"Computed from the base data provided by Canada"
"CAN","LDGT1",99351,"province_lam_FIPS","FIPS_CODE",,,,,"0.415*ATF1+0.585*ATF2","Paved Roads",,,,"Computed from the base data provided by Canada"
"CAN","LDGT2",99352,"province_lam_FIPS","FIPS_CODE",,,,,"0.536*ATF3+0.464*ATF4","Paved Roads",,,,"Computed from the base data provided by Canada"
"CAN","Light Duty Gasoline Trucks (LDGT)",935,"province_lam_FIPS","FIPS_CODE",,,,,"0.726*LDGT1+0.274*LDGT2","Paved Roads",,,,"Computed from the base data provided by Canada"
"CAN","HDGV1",99361,"province_lam_FIPS","FIPS_CODE",,,,,"0.407*ATF1+0.593*ATF2","Paved Roads",,,,"Computed from the base data provided by Canada"
"CAN","HDGV2",99362,"province_lam_FIPS","FIPS_CODE",,,,,"0.580*ATF3+0.420*ATF3","Paved Roads",,,,"Computed from the base data provided by Canada"
"CAN","Heavy Duty Gasoline Vehicles (HDGV)",936,"province_lam_FIPS","FIPS_CODE",,,,,"0.705*HDGV1+0.295*HDGV2","Paved Roads",,,,"Computed from the base data provided by Canada"
"CAN","MC1",99371,"province_lam_FIPS","FIPS_CODE",,,,,"0.412*ATF1+0.588*ATF2","Paved Roads",,,,"Computed from the base data provided by Canada"
"CAN","MC2",99372,"province_lam_FIPS","FIPS_CODE",,,,,"0.546*ATF3+0.454*ATF3","Paved Roads",,,,"Computed from the base data provided by Canada"
"CAN","Motorcycles (MC)",937,"province_lam_FIPS","FIPS_CODE",,,,,"0.720*MC1+0.280*MC2","Paved Roads",,,,"Computed from the base data provided by Canada"
"CAN","LDDV1",99381,"province_lam_FIPS","FIPS_CODE",,,,,"0.415*ATF1+0.585*ATF2","Paved Roads",,,,"Computed from the base data provided by Canada"
"CAN","LDDV2",99382,"province_lam_FIPS","FIPS_CODE",,,,,"0.531*ATF3+0.469*ATF4","Paved Roads",,,,"Computed from the base data provided by Canada"
"CAN","Light Duty Diesel Vehicles (LDDV)",938,"province_lam_FIPS","FIPS_CODE",,,,,"0.727*LDDV1+0.273*LDDV2","Paved Roads",,,,"Computed frbase data provided by Canada"
"CAN","LDDT1",99391,"province_lam_FIPS","FIPS_CODE",,,,,"0.415*ATF1+0.585*ATF2","Paved Roads",,,,"Computed from the base data provided by Canada"
"CAN","LDDT2",99392,"province_lam_FIPS","FIPS_CODE",,,,,"0.535*ATF3+0.465*ATF4","Paved Roads",,,,"Computed from the base data provided by Canada"
"CAN","Light Duty Diesel Trucks (LDDT)",939,"province_lam_FIPS","FIPS_CODE",,,,,"0.725*LDDT1+0.275*LDDT2","Paved Roads",,,,"Computed fromse data provided by Canada"
"CAN","HDDV1",99401,"province_lam_FIPS","FIPS_CODE",,,,,"0.401*ATF1+0.599*ATF2","Paved Roads",,,,"Computed from the base data provided by Canada"
"CAN","HDDV2",99402,"province_lam_FIPS","FIPS_CODE",,,,,"0.610*ATF3+0.390*ATF4","Paved Roads",,,,"Computed from the base data provided by Canada"
"CAN","Heavy Duty Diesel Vehicles (HDDV)",940,"province_lam_FIPS","FIPS_CODE",,,,,"0.690*HDDV1+0.310*HDDV2","Paved Roads",,,,"Computed frbase data provided by Canada"
"MEX","MEX Population",10,"REP_CRUCES","ID_MUN","REPMEX_ES_HEAT1","P001",,,,,,,"Census 2000",
"MEX","MEX Population",50,"REP_CRUCES","ID_MUN","REPMEX_ES_HEAT1","P001",,,,,,,"Census 2000",
"MEX","MEX Housing",12,"REP_CRUCES","ID_MUN","com_ind_viv","110_2000",,,,"MEX Population",,,"Census 2000",
"MEX","MEX Residential Heating - Wood",14,"REP_CRUCES","ID_MUN","REPMEX_ES_HEAT1","HOG_LENA",,,,"MEX Housing",,,"Census 2000",
"MEX","MEX Residential Heating - Distillate Oil",16,"REP_CRUCES","ID_MUN","REPMEX_ES_HEAT1","HOGAR__PET",,,,"MEX Housing",,,"Census 2000",
"MEX","MEX Residential Heating - Coal",18,"REP_CRUCES","ID_MUN","REPMEX_ES_HEAT1","HOGAR_CARB",,,,"MEX Housing",,,"Census 2000",
"MEX","MEX Residential Heating - LP Gas",20,"REP_CRUCES","ID_MUN","REPMEX_ES_HEAT1","HOG_GAS",,,,"MEX Housing",,,"Census 2000",
"MEX","MEX Total Road Miles",22,"REP_CRUCES","ID_MUN","carretera_ESPHE","SHAPE_len",,,,,,,"INEGI",
"MEX","MEX Total Railroads Miles",24,"REP_CRUCES","ID_MUN","mexico_rr","LENGTH",,,,,,,"Comming from Zac"," "
"MEX","MEX Total Agriculture",26,"REP_CRUCES","ID_MUN","A_Agricola","HA",,,,,,,"INEGI",
"MEX","MEX Forest Land",28,"REP_CRUCES","ID_MUN","BOSQUE_LAD","320_2000",,,,,,,"INEGI",
"MEX","MEX Land Area",30,"REP_CRUCES","ID_MUN","REPMEX_ES_HEAT1","P001",,,,,,,"Census 2000",
"MEX","MEX Commercial Land",32,"REP_CRUCES","ID_MUN","com_ind_viv","500_2000",,,,"MEX Land Area",,,"Economic census 2000",
"MEX","MEX Industrial Land",34,"REP_CRUCES","ID_MUN","com_ind_viv","505_2000",,,,"MEX Land Area",,,"Economic census 2000",
"MEX","MEX Commercial plus Industrial Land",36,"REP_CRUCES","ID_MUN","com_ind_viv","510_2000",,,,"MEX Land Area",,,"Economic census 2000",
"MEX","MEX Commercial plus Institutional Land",38,"REP_CRUCES","ID_MUN","com_ind_viv","515_2000",,,,"MEX Land Area",,,"Economic census 2000",
"MEX","Residential (RES1-4)+Comercial+Industrial+Institutional+Government",40,"REP_CRUCES","ID_MUN","com_ind_viv","535_2000",,,,"MEX Land Area",,,"Economic census 2000",
"MEX","MEX Personal Repair (COM3)",42,"REP_CRUCES","ID_MUN","REP_CRUCES","545_1999",,,,"MEX Population",,,"Economic census 2000",
"MEX","Airports Area",44,"REP_CRUCES","ID_MUN","mexico_air","VALUE",,,,,,,"Comming from Zac"," "
"MEX","MEX Marine Ports",46,"REP_CRUCES","ID_MUN","mexico_ports","VALUE",,,,,,,"Comming from Zac ",
"MEX","Brick Kilns - Mexico",48,"REP_CRUCES","ID_MUN","BOSQUE_LAD","LAD_2000",,,,,,,"Economic census 2000",
